State,Children_in_poverty,Adult_smoking,Income,Num_of_Providers,AvgSpendPerEpHosp,Pop_over_all,Poverty_overall,Degree_or_higher,TaxRate,Median_house_V,TotalDischrg,AvgMedicarePay,ratio_child,ratio_adult,ratio_income,ratio_num_prov,ratio_avgspend,ratio_pop,ratio_poverty,ratio_education,ratio_tax,ratio_median,ratio_total_disch
Michigan,0.226,0.212,49576.0,93,1651.1080156402736,9928300,2899367,3663596,0.02729413873493975,123535.37349397587,295552,86.62157756043544,0.0026090496890606844,0.00244742714195073,5.723285282516481,1.0736354915161224,19.061163074388755,1146.1693817655394,334.7164853903898,422.94265507274184,0.0003150963016795297,14.261501230197046,34.11990503102935
Oklahoma,0.22399999999999998,0.21100000000000002,46879.0,81,1611.7227833894497,3923561,1230103,1240230,0.014910237164935069,71486.88571428572,97292,72.07706055555556,0.0031077848940211043,0.0029274223778502375,6.5040110735185435,1.1237972161415601,22.36110589092581,544.3564110076045,170.66497863794837,172.07000263891942,0.00020686522244400566,9.918118908190637,13.498330710227737
Nevada,0.222,0.17,51847.0,19,1934.7177033492826,2940058,814616,891122,0.030119315352941173,149241.11176470589,42600,87.47602828618963,0.002537838129478136,0.0019433895586093836,5.926995202660041,0.21720236243281343,22.117118726739545,336.0987069944698,93.12448403977301,101.87042295571241,0.0003443150762904069,17.06080107757561,4.869905599809396
Oregon,0.213,0.17,51243.0,34,1633.2967914438505,4093465,1076337,1732746,0.02814551223055556,159426.80000000002,39546,90.35259961508848,0.002357430786799741,0.0018815175293706856,5.671447221031884,0.3763035058741371,18.076920845685297,453.05447960972776,119.12629017707384,191.7759984086434,0.0003115074978523959,17.644959932439672,4.376852483323125
Missouri,0.213,0.20600000000000002,48173.0,72,1616.5871212121212,6093000,1652717,2251330,0.013455634235652169,89251.88434782607,178826,75.89245870904166,0.0028066029698234516,0.0027143671914724465,6.3475345007185515,0.9487108630389133,21.301024485315885,802.8465678466804,217.77091269848384,296.6473926785273,0.00017729869956168773,11.760310031593798,23.56307899913843
Rhode Island,0.212,0.163,56852.0,11,1636.4586776859503,1056426,269365,470456,0.027975298200000002,194431.38,22289,93.17939115646256,0.002275181210875475,0.0017493138555316153,6.101349160410024,0.11805185528127465,17.562452999269805,113.37549933397804,28.908216361673222,50.489276025643036,0.0003002305322324458,20.866350121725926,2.392052547603937
Indiana,0.212,0.22899999999999998,49255.0,125,1743.1349090909086,6633053,1798334,2136124,0.019341962989130438,116898.30434782605,182573,74.7829632394364,0.0028348702808315964,0.003062194784483186,6.586393192564163,1.6715037033205167,23.30925164746181,886.9738123057011,240.47375526457586,285.64313414014686,0.00025864130212655917,15.631675890342411,24.413715650106937
Illinois,0.201,0.165,57574.0,13,1805.888111888112,12801539,3241947,5669738,0.017416291017647058,102620.09019607842,361603,83.8528267290425,0.0023970569370249206,0.0019677333065129944,6.866077417526009,0.15503353324041774,21.536401124836992,1526.6675554500032,386.62345999090195,676.1534728365074,0.0002077007024930134,12.238119357344917,43.12353132333445
Montana,0.192,0.19899999999999998,47169.0,13,1609.7447552447554,1042520,272876,418144,0.03422487507142858,99348.96607142856,15705,79.81088063241104,0.0024056870251100725,0.0024933943645672105,5.910096421219635,0.1628850589918278,20.16948995537134,130.62379361550796,34.190325659580004,52.391853928522195,0.00042882467653827556,12.448047845632109,1.9677768088205045
Delaware,0.192,0.19899999999999998,60509.0,7,1900.681818181818,952065,219183,390642,0.010133558333333334,165514.16666666663,26753,89.5967327411167,0.0021429352848699314,0.0022210631337974806,6.753482872510139,0.07812784892754956,21.213740278607045,106.26112927029641,24.46328044498157,43.600027372508315,0.00011310187350931111,18.47323686957513,2.9859347747981904
